Year,Country,Incidence,Deaths,Confirmed Cases,Total Population,Region,Global South,GDPpcPPP,AverageTemperature
2013-01-01,Afghanistan,9.01,24.0,39263.0,32269589.0,Asia & Pacific,Global South,2015.514962,16.533625
2012-01-01,Afghanistan,11.15,36.0,54840.0,31161376.0,Asia & Pacific,Global South,1914.774351,14.481583333333333
2011-01-01,Afghanistan,18.87,40.0,77549.0,30117413.0,Asia & Pacific,Global South,1699.487997,15.517999999999999
2010-01-01,Afghanistan,15.11,22.0,69397.0,29185507.0,Asia & Pacific,Global South,1710.575645,15.828666666666669
2009-01-01,Afghanistan,14.77,32.0,64880.0,28394813.0,Asia & Pacific,Global South,1519.692548,15.257749999999996
2008-01-01,Afghanistan,17.84,46.0,81574.0,27722276.0,Asia & Pacific,Global South,1272.573204,15.216500000000002
2007-01-01,Afghanistan,21.55,25.0,92202.0,27100536.0,Asia & Pacific,Global South,1228.704135,15.106166666666669
2006-01-01,Afghanistan,20.53,,86129.0,26433049.0,Asia & Pacific,Global South,1077.761907,15.595583333333332
2005-01-01,Afghanistan,27.08,0.0,116444.0,25654277.0,Asia & Pacific,Global South,1023.05163,14.979999999999999
2004-01-01,Afghanistan,37.64,,242022.0,24726684.0,Asia & Pacific,Global South,925.4416162,15.77091666666667
2003-01-01,Afghanistan,68.41,,360940.0,23680871.0,Asia & Pacific,Global South,927.8575479,14.916000000000002
2002-01-01,Afghanistan,104.01,,415356.0,22600770.0,Asia & Pacific,Global South,877.0144235,15.537666666666668
2001-01-01,Afghanistan,91.89,,50850.0,21606988.0,Asia & Pacific,Global South,,15.778083333333333
2000-01-01,Afghanistan,95.54,,94475.0,20779953.0,Asia & Pacific,Global South,,15.497833333333334
2013-01-01,Algeria,0.0,0.0,8.0,38140132.0,Arab States,Global South,13056.80362,25.1215
2012-01-01,Algeria,0.03,0.0,55.0,37383887.0,Arab States,Global South,13303.33179,23.95483333333333
2011-01-01,Algeria,0.0,0.0,1.0,36661444.0,Arab States,Global South,13500.04166,24.144166666666667
2010-01-01,Algeria,0.0,1.0,1.0,35977455.0,Arab States,Global South,13095.44682,25.21566666666666
2009-01-01,Algeria,0.0,0.0,0.0,35333881.0,Arab States,Global South,12722.37818,24.154333333333337
2008-01-01,Algeria,0.0,0.0,3.0,34730608.0,Arab States,Global South,12643.14916,23.95025
2007-01-01,Algeria,0.01,,288.0,34166972.0,Arab States,Global South,12311.03903,24.06533333333334
2006-01-01,Algeria,0.0,,117.0,33641002.0,Arab States,Global South,11776.04135,24.200833333333335
2005-01-01,Algeria,0.0,,299.0,33149724.0,Arab States,Global South,11405.64036,24.222583333333333
2004-01-01,Algeria,0.0,,163.0,32692163.0,Arab States,Global South,10591.03422,23.916000000000007
2003-01-01,Algeria,0.0,,427.0,32264157.0,Arab States,Global South,10019.35783,24.393666666666665
2002-01-01,Algeria,0.01,,307.0,31855109.0,Arab States,Global South,9293.836798,24.263000000000005
2001-01-01,Algeria,0.0,1.0,435.0,31451514.0,Arab States,Global South,8775.117026,24.724416666666666
2000-01-01,Algeria,0.02,2.0,541.0,31042235.0,Arab States,Global South,8446.587979,24.032249999999994
2013-01-01,Angola,180.9,7300.0,1999868.0,26015780.0,Africa,Global South,7682.477158,22.507875000000002
2012-01-01,Angola,174.43,5736.0,1496834.0,25107931.0,Africa,Global South,7412.965263,22.123333333333335
2011-01-01,Angola,175.99,6909.0,1632282.0,24220661.0,Africa,Global South,6710.750346,22.029666666666667
2010-01-01,Angola,185.52,8114.0,1682870.0,23356246.0,Africa,Global South,6587.987221,22.6815
2009-01-01,Angola,204.35,10530.0,1573422.0,22514281.0,Africa,Global South,6470.67352,22.3165
2008-01-01,Angola,241.19,9465.0,1377992.0,21695634.0,Africa,Global South,6607.292243,22.287333333333333
2007-01-01,Angola,286.72,9812.0,1533485.0,20905363.0,Africa,Global South,6050.609686,22.42708333333334
2006-01-01,Angola,313.81,10220.0,1082398.0,20149901.0,Africa,Global South,5362.020907,21.947083333333335
2005-01-01,Angola,323.69,13768.0,889572.0,19433602.0,Africa,Global South,4837.710325,22.96608333333333
2004-01-01,Angola,319.66,12459.0,,18758145.0,Africa,Global South,4225.46635,22.57283333333333
2003-01-01,Angola,315.35,38598.0,,18121479.0,Africa,Global South,3838.794629,23.06658333333333
2002-01-01,Angola,312.3,14434.0,,17519417.0,Africa,Global South,3785.150538,22.9255
2001-01-01,Angola,328.28,9473.0,,16945753.0,Africa,Global South,3389.196967,22.502916666666668
2000-01-01,Angola,324.44,9510.0,,16395473.0,Africa,Global South,3289.410352,22.360666666666663
2013-01-01,Argentina,0.0,0.0,0.0,42202935.0,South/Latin America,Global South,20131.68042,14.457124999999998
2012-01-01,Argentina,0.0,0.0,0.0,41733271.0,South/Latin America,Global South,19641.35286,15.688999999999998
2011-01-01,Argentina,0.0,0.0,0.0,41261490.0,South/Latin America,Global South,19322.22712,15.339666666666668
2010-01-01,Argentina,0.07,0.0,14.0,40788453.0,South/Latin America,Global South,18061.93436,15.078833333333334
2009-01-01,Argentina,0.42,0.0,86.0,40482788.0,South/Latin America,Global South,16334.74001,15.534416666666667
2008-01-01,Argentina,0.65,0.0,130.0,40080160.0,South/Latin America,Global South,17404.06871,15.475999999999999
2007-01-01,Argentina,1.95,0.0,387.0,39684295.0,South/Latin America,Global South,16570.01117,14.628083333333336
